scope_name,scope_type,scope_value,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,dominant_role_share,section_count,currier_count,hand_count,marker_count,top_tokens,induction_votes,loose_induction_votes,mean_induction_match,mean_induction_cluster_purity,induction_detail,tokenization_votes,tokenization_loose_votes,supported_tokenization_variants,tokenization_support_detail,tier,new_occurrences_after_higher_tiers,reason_not_promoted
global,global,global,surface_token,sheol,R06,17,17,1,1.0,6,3,4,4,sheol,5,5,0.8,0.485,16:0.882/0.464 24:0.706/0.496 32:0.824/0.480 48:0.765/0.512 64:0.824/0.473,1,2,surface_token_key,surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:0.00/1.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,17,tokenization robustness below promoted threshold
global,global,global,broad_shape,L|or,R00,16,16,4,1.0,4,1,2,2,"lor, ror, chlor, lror",1,2,0.463,0.484,16:0.375/0.480 24:0.438/0.461 32:0.500/0.482 48:0.375/0.495 64:0.625/0.501,3,5,"conservative_family_key, broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.69 conservative_family_key:0.75/0.75 broad_shape_family_key:1.00/1.00 stolfi_signature_key:1.00/1.00 frame_terminal_key:0.06/0.06 edge_signature_key:0.00/0.69 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,16,induction support below promoted threshold
global,global,global,stolfi_inspired_signature,NG|S_LOL|T_or,R00,16,16,4,1.0,4,1,2,2,"lor, ror, chlor, lror",1,2,0.463,0.484,16:0.375/0.480 24:0.438/0.461 32:0.500/0.482 48:0.375/0.495 64:0.625/0.501,3,5,"conservative_family_key, broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.69 conservative_family_key:0.75/0.75 broad_shape_family_key:1.00/1.00 stolfi_signature_key:1.00/1.00 frame_terminal_key:0.06/0.06 edge_signature_key:0.00/0.69 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,16,induction support below promoted threshold
global,global,global,stolfi_inspired_signature,NG|S_OX|T_NONE,R00,16,16,7,0.875,6,3,5,4,"chos, os, as, olos, og, dag, qoos",1,1,0.412,0.461,16:0.188/0.460 24:0.750/0.481 32:0.438/0.443 48:0.250/0.457 64:0.438/0.465,2,3,"conservative_family_key, broad_shape_family_key",surface_token_key:0.00/0.00 conservative_family_key:0.75/0.75 broad_shape_family_key:1.00/1.00 stolfi_signature_key:0.00/1.00 frame_terminal_key:0.50/0.50 edge_signature_key:0.44/0.44 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,16,"role purity below promoted threshold, induction support below promoted threshold"
currier,meta_L,B,broad_shape,L|or,R00,16,16,4,1.0,4,1,2,2,"lor, ror, chlor, lror",1,2,0.463,0.484,16:0.375/0.480 24:0.438/0.461 32:0.500/0.482 48:0.375/0.495 64:0.625/0.501,3,6,"conservative_family_key, broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.69 conservative_family_key:0.75/0.75 broad_shape_family_key:1.00/1.00 stolfi_signature_key:1.00/1.00 frame_terminal_key:0.06/1.00 edge_signature_key:0.00/0.69 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,16,induction support below promoted threshold
currier,meta_L,B,stolfi_inspired_signature,NG|S_LOL|T_or,R00,16,16,4,1.0,4,1,2,2,"lor, ror, chlor, lror",1,2,0.463,0.484,16:0.375/0.480 24:0.438/0.461 32:0.500/0.482 48:0.375/0.495 64:0.625/0.501,3,6,"conservative_family_key, broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.69 conservative_family_key:0.75/0.75 broad_shape_family_key:1.00/1.00 stolfi_signature_key:1.00/1.00 frame_terminal_key:0.06/1.00 edge_signature_key:0.00/0.69 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,16,induction support below promoted threshold
global,global,global,stolfi_inspired_signature,G_k|S_OLY|T_y,R00,22,22,6,0.864,8,3,5,4,"okary, okaly, qokaly, okoaly, okoly, okory",5,5,0.936,0.663,16:0.955/0.659 24:0.909/0.682 32:0.955/0.650 48:0.955/0.661 64:0.909/0.662,3,6,"frame_terminal_key, left_boundary_merge_stolfi_key, right_boundary_merge_stolfi_key",surface_token_key:0.00/0.73 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/1.00 frame_terminal_key:0.86/0.86 edge_signature_key:0.00/0.86 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.59/0.59 right_boundary_merge_stolfi_key:0.77/0.77,good_but_not_reliable_enough,15,role purity below promoted threshold
global,global,global,conservative_morphology,os|NONE|OX,R00,15,14,6,0.933,5,3,5,4,"chos, os, okos, olos, otos, qoos",1,2,0.493,0.492,16:0.267/0.489 24:0.800/0.518 32:0.533/0.477 48:0.400/0.476 64:0.467/0.501,3,4,"conservative_family_key, broad_shape_family_key, frame_terminal_key",surface_token_key:0.00/0.00 conservative_family_key:1.00/1.00 broad_shape_family_key:1.00/1.00 stolfi_signature_key:0.00/0.80 frame_terminal_key:0.67/0.67 edge_signature_key:0.47/0.47 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,induction support below promoted threshold
section,meta_I,B,surface_token,daiin,R10,15,12,1,1.0,1,1,1,1,daiin,1,1,0.147,0.504,16:0.000/0.445 24:0.000/0.454 32:0.000/0.440 48:0.000/0.468 64:0.733/0.714,2,2,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,induction support below promoted threshold
hand,meta_H,2,broad_shape,G|eedy,R00,15,15,7,0.867,2,1,1,2,"olkeedy, ykeedy, yteedy, keedy, teedy, olteedy, chkeedy",2,5,0.84,0.44,16:0.800/0.417 24:0.867/0.449 32:0.867/0.421 48:0.933/0.458 64:0.733/0.456,3,5,"conservative_family_key, stolfi_signature_key, edge_signature_key",surface_token_key:0.00/0.53 conservative_family_key:0.80/0.80 broad_shape_family_key:0.00/1.00 stolfi_signature_key:0.80/0.80 frame_terminal_key:0.00/0.73 edge_signature_key:0.60/0.60 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,role purity below promoted threshold
