tier,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,status_standard,dominant_role_share,stratified_role_purity,metadata_concentration_risk_max_share,top_tokens
low_reliability_or_unlikely,surface_token,okeol,R06,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.667,okeol
low_reliability_or_unlikely,surface_token,olkeey,R00,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,olkeey
low_reliability_or_unlikely,surface_token,opchey,R00,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.667,opchey
low_reliability_or_unlikely,surface_token,otal,R01,9,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,otal
low_reliability_or_unlikely,surface_token,otaly,R00,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.556,otaly
low_reliability_or_unlikely,surface_token,otchdy,R00,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.778,otchdy
low_reliability_or_unlikely,surface_token,pchedy,R06,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,pchedy
low_reliability_or_unlikely,surface_token,qokchey,H08,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qokchey
low_reliability_or_unlikely,surface_token,qokeol,H08,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qokeol
low_reliability_or_unlikely,surface_token,d,R06,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.625,d
low_reliability_or_unlikely,surface_token,keedy,R06,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.875,keedy
low_reliability_or_unlikely,surface_token,lshey,R00,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,lshey
low_reliability_or_unlikely,surface_token,ody,R00,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.875,ody
low_reliability_or_unlikely,surface_token,okaly,R00,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.5,okaly
low_reliability_or_unlikely,surface_token,okary,R00,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.375,okary
low_reliability_or_unlikely,surface_token,okchdy,R00,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.875,okchdy
low_reliability_or_unlikely,surface_token,olchedy,R00,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,olchedy
low_reliability_or_unlikely,surface_token,opchedy,R00,8,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,opchedy
low_reliability_or_unlikely,surface_token,otam,R06,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.875,otam
low_reliability_or_unlikely,surface_token,otol,R01,8,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,otol
low_reliability_or_unlikely,surface_token,qokeody,H11,8,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qokeody
low_reliability_or_unlikely,surface_token,sheody,R06,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.875,sheody
low_reliability_or_unlikely,surface_token,ykar,R06,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.875,ykar
low_reliability_or_unlikely,surface_token,ykedy,R00,8,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,ykedy
low_reliability_or_unlikely,surface_token,air,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.571,air
low_reliability_or_unlikely,surface_token,ary,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.714,ary
low_reliability_or_unlikely,surface_token,checkhy,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,checkhy
low_reliability_or_unlikely,surface_token,chky,R00,7,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.857,chky
low_reliability_or_unlikely,surface_token,chocthy,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,chocthy
low_reliability_or_unlikely,surface_token,chos,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,chos
low_reliability_or_unlikely,surface_token,da,R06,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,da
low_reliability_or_unlikely,surface_token,daly,R09,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.857,daly
low_reliability_or_unlikely,surface_token,kaiin,R06,7,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,kaiin
low_reliability_or_unlikely,surface_token,kol,R06,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.857,kol
low_reliability_or_unlikely,surface_token,lchey,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,lchey
low_reliability_or_unlikely,surface_token,lkedy,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,lkedy
low_reliability_or_unlikely,surface_token,oiin,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,oiin
low_reliability_or_unlikely,surface_token,okaldy,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.571,okaldy
low_reliability_or_unlikely,surface_token,okor,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.714,okor
low_reliability_or_unlikely,surface_token,olchey,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,olchey
low_reliability_or_unlikely,surface_token,oldy,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.571,oldy
low_reliability_or_unlikely,surface_token,olkedy,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,olkedy
low_reliability_or_unlikely,surface_token,ory,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.714,ory
low_reliability_or_unlikely,surface_token,qockhey,H07,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qockhey
low_reliability_or_unlikely,surface_token,qotol,H13,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.857,qotol
low_reliability_or_unlikely,surface_token,sair,R06,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.857,sair
low_reliability_or_unlikely,surface_token,sheky,R06,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.857,sheky
low_reliability_or_unlikely,surface_token,sheo,R06,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.857,sheo
low_reliability_or_unlikely,surface_token,sheor,R06,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,sheor
low_reliability_or_unlikely,surface_token,sy,R06,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,sy
low_reliability_or_unlikely,surface_token,taiin,R06,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,taiin
low_reliability_or_unlikely,surface_token,yteedy,R00,7,7,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.857,yteedy
low_reliability_or_unlikely,surface_token,chckhey,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,chckhey
low_reliability_or_unlikely,surface_token,cheal,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,cheal
low_reliability_or_unlikely,surface_token,chedaiin,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,chedaiin
low_reliability_or_unlikely,surface_token,chockhy,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.667,chockhy
low_reliability_or_unlikely,surface_token,choty,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,choty
low_reliability_or_unlikely,surface_token,dchor,R06,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.833,dchor
low_reliability_or_unlikely,surface_token,kain,R06,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,kain
low_reliability_or_unlikely,surface_token,kchy,R06,6,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,kchy
low_reliability_or_unlikely,surface_token,kedy,R06,6,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,kedy
low_reliability_or_unlikely,surface_token,keol,R06,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.833,keol
low_reliability_or_unlikely,surface_token,lcheey,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,lcheey
