token,occurrences_core,distinct_lines,dominant_role,dominant_role_share,role_entropy_norm,stratified_role_purity,stratum_majority_role_agreement,strata_total,strata_with_2plus_occurrences,portable_strata_2plus,conflict_strata_2plus,dominant_module,dominant_module_share,module_entropy_norm,stratified_module_purity,distinct_section_I,dominant_I,dominant_I_share,section_I_entropy_norm,distinct_currier_L,dominant_L,dominant_L_share,currier_L_entropy_norm,distinct_hand_H,dominant_H,dominant_H_share,hand_H_entropy_norm,distinct_marker_family,dominant_marker,dominant_marker_share,marker_entropy_norm,metadata_concentration_risk_max_share,pass26_residual_status,pass21_24_candidate_class,pass21_24_candidate_confidence,sample_loci,sample_strata
shear,5,5,R06,1.0,0.0,1.0,1.0,5,0,0,0,G2,0.8,0.722,1.0,3,S,0.6,0.865,2,B,0.6,0.971,3,3,0.6,0.865,2,paragraph_continuation,0.8,0.722,0.8,LOW_POWER_TOKEN,FRAME_ARGUMENT_OR_FILLER_LEXEME_CANDIDATE,LOW_MEDIUM,"f29r.3,+P0;f58v.39,+P0;f77r.21,+P0;f111r.1,@P0;f111v.11,+P0",B|B|2|paragraph_continuation:1/R06;H|A|1|paragraph_continuation:1/R06;S|A|3|paragraph_continuation:1/R06;S|B|3|paragraph_continuation:1/R06;S|B|3|paragraph_start:1/R06
sheckhy,5,5,R00,1.0,0.0,1.0,1.0,3,1,1,0,G1,0.8,0.722,1.0,3,S,0.6,0.865,1,B,1.0,0.0,2,3,0.6,0.971,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,FRAME_ARGUMENT_OR_FILLER_LEXEME_CANDIDATE,LOW_MEDIUM,"f46r.12,+P0;f82v.9,+P0;f108r.45,+P0;f108v.12,+P0;f113v.8,+P0",B|B|2|paragraph_continuation:1/R00;H|B|2|paragraph_continuation:1/R00;S|B|3|paragraph_continuation:3/R00
tchedy,5,5,R06,1.0,0.0,1.0,1.0,4,1,1,0,G1,0.4,0.96,0.8,3,B,0.4,0.96,1,B,1.0,0.0,2,2,0.8,0.722,2,paragraph_continuation,0.8,0.722,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f76v.15,+P0;f82v.13,+P0;f86v3.1,@Pb;f86v3.31,+Pb;f112r.11,+P0",B|B|2|paragraph_continuation:2/R06;C|B|2|paragraph_continuation:1/R06;C|B|2|paragraph_start:1/R06;S|B|3|paragraph_continuation:1/R06
ychol,5,5,R06,1.0,0.0,1.0,1.0,2,2,2,0,G2,0.6,0.971,0.8,2,H,0.6,0.971,2,A,0.6,0.971,2,1,0.6,0.971,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f6r.8,+P0;f6v.7,+P0;f93v.10,+P0;f107r.12,+P0;f107r.15,+P0",H|A|1|paragraph_continuation:3/R06;S|B|3|paragraph_continuation:2/R06
ydaiin,5,5,R06,1.0,0.0,1.0,1.0,3,1,1,0,G3C,0.6,0.865,1.0,3,H,0.6,0.865,2,A,0.8,0.722,2,1,0.8,0.722,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f6r.6,+P0;f29v.9,+P0;f35v.16,+P0;f102v1.10,+P0;f114r.44,+P0",H|A|1|paragraph_continuation:3/R06;P|A|1|paragraph_continuation:1/R06;S|B|3|paragraph_continuation:1/R06
ykchy,5,5,R06,1.0,0.0,1.0,1.0,3,1,1,0,G3C,0.6,0.971,0.8,3,H,0.6,0.865,2,A,0.6,0.971,2,1,0.6,0.971,3,paragraph_continuation,0.6,0.865,0.6,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f13r.2,+P0;f13r.3,+P0;f44r.4,+P0;f67r2.7,&L0;f70r1.7,@Ri",A||4|&L:1/R06;C||4|radial/ring_text:1/R06;H|A|1|paragraph_continuation:3/R06
ykeody,5,5,R00,1.0,0.0,1.0,1.0,5,0,0,0,G3C,1.0,0.0,1.0,4,A,0.4,0.961,2,nan,0.8,0.722,2,4,0.8,0.722,3,paragraph_continuation,0.4,0.96,0.8,LOW_POWER_TOKEN,COMPACT_LABEL_OR_INDEX_LEXEME_CANDIDATE,LOW_MEDIUM,"f14r.13,+P0;f67r2.5,&L0;f68r2.5,+P0;f69v.22,@Ri;f73v.12,&Lz",A||4|&L:1/R00;A||4|paragraph_continuation:1/R00;C||4|radial/ring_text:1/R00;H|A|1|paragraph_continuation:1/R00;Z||4|&L:1/R00
ch,4,4,R00,1.0,0.0,1.0,1.0,4,0,0,0,G3C,0.5,0.946,1.0,3,S,0.5,0.946,2,B,0.75,0.811,2,2,0.5,1.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f40v.4,+P0;f58v.39,+P0;f75r.44,+P0;f108r.8,+P0",B|B|2|paragraph_continuation:1/R00;H|B|2|paragraph_continuation:1/R00;S|A|3|paragraph_continuation:1/R00;S|B|3|paragraph_continuation:1/R00
chedain,4,4,R00,1.0,0.0,1.0,1.0,2,1,1,0,G2,0.5,1.0,0.75,2,S,0.75,0.811,1,B,1.0,0.0,2,3,0.75,0.811,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f76r.6,+P0;f111r.38,+P0;f114v.8,+P0;f114v.10,+P0",S|B|3|paragraph_continuation:3/R00;T|B|2|paragraph_continuation:1/R00
chedar,4,4,R00,1.0,0.0,1.0,1.0,2,1,1,0,G1,0.75,0.811,0.75,1,S,1.0,0.0,1,B,1.0,0.0,2,3,0.75,0.811,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f108v.21,+P0;f114v.4,+P0;f115r.5,+P0;f115v.32,+P0",S|B|3|paragraph_continuation:3/R00;S|B|@|paragraph_continuation:1/R00
cheeor,4,4,R00,1.0,0.0,1.0,1.0,4,0,0,0,G1,0.5,0.946,1.0,4,H,0.25,1.0,2,A,0.5,1.0,3,1,0.5,0.946,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f17v.18,+P0;f86v3.27,+Pb;f89v1.10,+P0;f112v.33,+P0",C|B|2|paragraph_continuation:1/R00;H|A|1|paragraph_continuation:1/R00;P|A|1|paragraph_continuation:1/R00;S|B|3|paragraph_continuation:1/R00
chees,4,4,R00,1.0,0.0,1.0,1.0,3,1,1,0,G2,0.75,0.811,1.0,3,S,0.5,0.946,2,A,0.5,1.0,2,1,0.5,1.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f24r.4,+P0;f88v.16,+P0;f103v.38,+P0;f111v.50,+P0",H|A|1|paragraph_continuation:1/R00;P|A|1|paragraph_continuation:1/R00;S|B|3|paragraph_continuation:2/R00
chekain,4,4,R00,1.0,0.0,1.0,1.0,2,1,1,0,G2,0.75,0.811,0.75,2,S,0.75,0.811,1,B,1.0,0.0,2,3,0.75,0.811,2,paragraph_continuation,0.75,0.811,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f76r.8,=P0;f107r.33,+P0;f111v.31,+P0;f112v.21,+P0",S|B|3|paragraph_continuation:3/R00;T|B|2|paragraph_terminal_or_label:1/R00
ches,4,4,R00,1.0,0.0,1.0,1.0,4,0,0,0,G3C,0.5,0.946,1.0,3,H,0.5,0.946,2,A,0.5,1.0,2,1,0.5,1.0,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f6v.18,+P0;f46r.12,+P0;f76r.8,=P0;f101v.26,+P0",H|A|1|paragraph_continuation:1/R00;H|B|2|paragraph_continuation:1/R00;P|A|1|paragraph_continuation:1/R00;T|B|2|paragraph_terminal_or_label:1/R00
chockhey,4,4,R00,1.0,0.0,1.0,1.0,4,0,0,0,G3C,0.5,0.946,1.0,4,H,0.25,1.0,2,A,0.75,0.811,3,1,0.5,0.946,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f51v.12,+P0;f58v.9,+P0;f67v1.16,@Ro;f100v.17,+P0",A||4|radial/ring_text:1/R00;H|A|1|paragraph_continuation:1/R00;P|A|1|paragraph_continuation:1/R00;S|A|3|paragraph_continuation:1/R00
chokchy,4,4,R00,1.0,0.0,1.0,1.0,3,1,1,0,G3C,1.0,0.0,1.0,3,H,0.5,0.946,3,A,0.5,0.946,3,1,0.5,0.946,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f7v.9,+P0;f18r.11,+P0;f68r3.22,@Cc;f108r.8,+P0",A||4|circular/diagram_text:1/R00;H|A|1|paragraph_continuation:2/R00;S|B|3|paragraph_continuation:1/R00
chotal,4,4,R00,1.0,0.0,1.0,1.0,4,0,0,0,G1,0.75,0.811,1.0,3,C,0.5,0.946,2,B,0.5,1.0,3,4,0.5,0.946,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f46v.3,+P0;f69r.21,@Ro;f70r2.11,+P1;f114r.44,+P0",C||4|paragraph_continuation:1/R00;C||4|radial/ring_text:1/R00;H|B|2|paragraph_continuation:1/R00;S|B|3|paragraph_continuation:1/R00
chs,4,4,R00,1.0,0.0,1.0,1.0,4,0,0,0,G3C,0.5,0.946,1.0,2,H,0.75,0.811,2,A,0.5,1.0,3,1,0.5,0.946,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f16r.5,*P0;f26v.5,+P0;f93v.10,+P0;f113r.15,+P0",H|A|1|paragraph_continuation:1/R00;H|A|1|section/paragraph_break_start:1/R00;H|B|2|paragraph_continuation:1/R00;S|B|3|paragraph_continuation:1/R00
ckhey,4,4,R00,1.0,0.0,1.0,1.0,3,1,1,0,G3C,0.5,1.0,0.75,3,H,0.5,0.946,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f1r.20,+P0;f25v.2,+P0;f47r.3,+P0;f102r2.17,+P0",H|A|1|paragraph_continuation:2/R00;P|A|1|paragraph_continuation:1/R00;T|A|1|paragraph_continuation:1/R00
cphol,4,4,R00,1.0,0.0,1.0,1.0,1,1,1,0,G3C,0.75,0.811,0.75,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f8r.19,+P0;f13v.2,+P0;f17v.4,+P0;f32v.10,+P0",H|A|1|paragraph_continuation:4/R00
cphy,4,4,R00,1.0,0.0,1.0,1.0,3,1,1,0,G3C,0.75,0.811,0.75,2,H,0.75,0.811,2,A,0.75,0.811,2,1,0.75,0.811,3,paragraph_continuation,0.5,0.946,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f9r.3,+P0;f11r.1,@P0;f47r.11,+P0;f68r3.16,+Ls",A||4|+L:1/R00;H|A|1|paragraph_continuation:2/R00;H|A|1|paragraph_start:1/R00
cthaiin,4,4,R04,1.0,0.0,1.0,1.0,2,1,1,0,G3C,0.5,1.0,0.75,2,H,0.75,0.811,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f1r.5,+P0;f6r.6,+P0;f15r.12,+P0;f32v.9,+P0",H|A|1|paragraph_continuation:3/R04;T|A|1|paragraph_continuation:1/R04
dan,4,4,R06,1.0,0.0,1.0,1.0,2,1,1,0,G3C,1.0,0.0,1.0,2,H,0.75,0.811,2,A,0.75,0.811,2,1,0.75,0.811,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f2r.11,+P0;f16v.5,+P0;f35v.20,+P0;f71v.10,&Lz",H|A|1|paragraph_continuation:3/R06;Z||4|&L:1/R06
dchedy,4,4,R06,1.0,0.0,1.0,1.0,1,1,1,0,G1,0.75,0.811,0.75,1,B,1.0,0.0,1,B,1.0,0.0,1,2,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f75r.44,+P0;f80v.22,+P0;f81v.23,+P0;f82r.2,+P0",B|B|2|paragraph_continuation:4/R06
dchey,4,4,R06,1.0,0.0,1.0,1.0,3,1,1,0,G2,0.5,0.946,0.75,3,H,0.5,0.946,2,A,0.5,1.0,3,1,0.5,0.946,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f23r.6,+P0;f24v.15,+P0;f84v.34,+P0;f107r.2,+P0",B|B|2|paragraph_continuation:1/R06;H|A|1|paragraph_continuation:2/R06;S|B|3|paragraph_continuation:1/R06
dchol,4,4,R06,1.0,0.0,1.0,1.0,3,1,1,0,G3C,0.5,1.0,0.75,3,H,0.5,0.946,3,A,0.5,0.946,3,1,0.5,0.946,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f5v.2,+P0;f13r.2,+P0;f68r2.12,@Ls;f81r.13,+P0",A||4|label_or_marginal:1/R06;B|B|2|paragraph_continuation:1/R06;H|A|1|paragraph_continuation:2/R06
keody,4,3,R06,1.0,0.0,1.0,1.0,2,2,2,0,G2,0.75,0.811,0.75,2,H,0.5,1.0,1,B,1.0,0.0,2,2,0.5,1.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f46v.3,+P0;f50v.2,+P0;f66r.70,+P0",H|B|2|paragraph_continuation:2/R06;T|B|5|paragraph_continuation:2/R06
kody,4,4,R06,1.0,0.0,1.0,1.0,4,0,0,0,G3C,0.5,0.946,1.0,3,H,0.5,0.946,3,B,0.5,0.946,3,5,0.5,0.946,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f53v.12,+P0;f66r.79,+P0;f66v.8,+P0;f69r.36,@Ro",C||4|radial/ring_text:1/R06;H|A|1|paragraph_continuation:1/R06;H|B|5|paragraph_continuation:1/R06;T|B|5|paragraph_continuation:1/R06
lchdy,4,4,R00,1.0,0.0,1.0,1.0,1,1,1,0,G2,0.75,0.811,0.75,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f103v.15,+P0;f103v.34,+P0;f108r.48,+P0;f111v.39,+P0",S|B|3|paragraph_continuation:4/R00
lo,4,4,R00,1.0,0.0,1.0,1.0,2,2,2,0,G1,0.5,0.946,0.5,2,B,0.5,1.0,1,B,1.0,0.0,2,2,0.5,1.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f75r.9,+P0;f76v.13,+P0;f108v.18,+P0;f112r.24,+P0",B|B|2|paragraph_continuation:2/R00;S|B|3|paragraph_continuation:2/R00
ly,4,4,R00,1.0,0.0,1.0,1.0,2,1,1,0,G2,0.75,0.811,1.0,2,B,0.75,0.811,2,B,0.75,0.811,2,2,0.75,0.811,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f69r.16,&L0;f75r.2,+P0;f81r.10,+P0;f81v.24,+P0",B|B|2|paragraph_continuation:3/R00;C||4|&L:1/R00
oaiin,4,4,R00,1.0,0.0,1.0,1.0,3,1,1,0,G3C,0.5,0.946,0.75,3,H,0.5,0.946,3,A,0.5,0.946,3,1,0.5,0.946,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f29v.9,+P0;f54r.9,+P0;f72v2.31,&Lz;f111v.38,+P0",H|A|1|paragraph_continuation:2/R00;S|B|3|paragraph_continuation:1/R00;Z||4|&L:1/R00
oeedy,4,4,R00,1.0,0.0,1.0,1.0,3,1,1,0,G3C,0.5,1.0,1.0,3,Z,0.5,0.946,2,nan,0.5,1.0,3,4,0.5,0.946,2,&L,0.5,1.0,0.5,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f72v3.25,&Lz;f72v2.23,&Lz;f86v3.31,+Pb;f107r.39,+P0",C|B|2|paragraph_continuation:1/R00;S|B|3|paragraph_continuation:1/R00;Z||4|&L:2/R00
oeees,4,4,R00,1.0,0.0,1.0,1.0,2,1,1,0,G3C,0.75,0.811,0.75,2,H,0.75,0.811,2,A,0.75,0.811,2,1,0.75,0.811,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f9v.3,+P0;f13r.3,+P0;f24r.15,+P0;f72v1.6,&Lz",H|A|1|paragraph_continuation:3/R00;Z||4|&L:1/R00
okair,4,4,R00,1.0,0.0,1.0,1.0,2,1,1,0,G2,0.75,0.811,1.0,2,H,0.75,0.811,2,B,0.75,0.811,2,2,0.75,0.811,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f40v.18,+P0;f50v.8,+P0;f55r.2,+P0;f69r.15,&L0",C||4|&L:1/R00;H|B|2|paragraph_continuation:3/R00
okchor,4,4,R00,1.0,0.0,1.0,1.0,3,1,1,0,G3C,0.5,0.946,0.75,3,H,0.5,0.946,3,A,0.5,0.946,3,1,0.5,0.946,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f19v.11,+P0;f37r.11,+P0;f68r2.15,@Ls;f86v3.14,+Pb",A||4|label_or_marginal:1/R00;C|B|2|paragraph_continuation:1/R00;H|A|1|paragraph_continuation:2/R00
okeod,4,4,R00,1.0,0.0,1.0,1.0,2,1,1,0,G3C,1.0,0.0,1.0,2,C,0.75,0.811,1,nan,1.0,0.0,1,4,1.0,0.0,2,radial/ring_text,0.75,0.811,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f69v.14,@Ri;f69v.18,@Ri;f69v.27,@Ri;f73v.30,&Lz",C||4|radial/ring_text:3/R00;Z||4|&L:1/R00
oko,4,4,R00,1.0,0.0,1.0,1.0,3,1,1,0,G3C,0.5,0.946,0.75,2,H,0.5,1.0,3,A,0.5,0.946,2,1,0.5,1.0,2,paragraph_continuation,0.5,1.0,0.5,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f13v.2,+P0;f67v2.21,@La;fRos.21,@L0;f90r1.8,+P0",C|B|4|label_or_marginal:1/R00;C||4|label_or_marginal:1/R00;H|A|1|paragraph_continuation:2/R00
olaiin,4,4,R10,1.0,0.0,1.0,1.0,4,0,0,0,G1,0.5,0.946,1.0,3,B,0.5,0.946,2,B,0.75,0.811,3,2,0.5,0.946,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f75r.44,+P0;f82r.44,=Ln;f101v.26,+P0;f111v.44,+P0",B|B|2|=L:1/R10;B|B|2|paragraph_continuation:1/R10;P|A|1|paragraph_continuation:1/R10;S|B|3|paragraph_continuation:1/R10
olkain,4,4,R00,1.0,0.0,1.0,1.0,1,1,1,0,G2,1.0,0.0,1.0,1,B,1.0,0.0,1,B,1.0,0.0,1,2,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f79v.25,+P0;f81v.2,+P0;f81v.23,+P0;f84v.24,+P0",B|B|2|paragraph_continuation:4/R00
olkam,4,4,R00,1.0,0.0,1.0,1.0,3,1,1,0,G2,0.5,1.0,0.75,2,S,0.75,0.811,2,B,0.75,0.811,2,3,0.75,0.811,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f58v.19,+P0;f79v.11,+P0;f103v.32,+P0;f113v.8,+P0",B|B|2|paragraph_continuation:1/R00;S|A|3|paragraph_continuation:1/R00;S|B|3|paragraph_continuation:2/R00
olol,4,4,R00,1.0,0.0,1.0,1.0,4,0,0,0,G3C,0.75,0.811,1.0,3,B,0.5,0.946,3,B,0.5,0.946,3,2,0.5,0.946,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f17v.3,+P0;f67r2.30,+Pb;f75v.52,=Lt;f84v.38,+P0",A||4|paragraph_continuation:1/R00;B|B|2|=L:1/R00;B|B|2|paragraph_continuation:1/R00;H|A|1|paragraph_continuation:1/R00
olor,4,4,R00,1.0,0.0,1.0,1.0,4,0,0,0,G3C,0.5,1.0,1.0,3,H,0.5,0.946,3,B,0.5,0.946,4,1,0.25,1.0,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f35r.12,+P0;f43r.3,+P0;f68r1.20,@Ls;f111v.36,+P0",A||4|label_or_marginal:1/R00;H|A|1|paragraph_continuation:1/R00;H|B|2|paragraph_continuation:1/R00;S|B|3|paragraph_continuation:1/R00
opchdy,4,4,R00,1.0,0.0,1.0,1.0,4,0,0,0,G3C,0.5,1.0,1.0,2,C,0.75,0.811,1,B,1.0,0.0,3,4,0.5,0.946,4,label_or_marginal,0.25,1.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"fRos.96,@L0;fRos.156,+L0;f86v3.23,@Pb;f94v.6,+P0",C|B|2|paragraph_start:1/R00;C|B|4|+L:1/R00;C|B|4|label_or_marginal:1/R00;H|B|3|paragraph_continuation:1/R00
oraiin,4,4,R10,1.0,0.0,1.0,1.0,3,1,1,0,G1,0.5,0.946,0.75,3,S,0.5,0.946,1,B,1.0,0.0,2,2,0.5,1.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f31v.5,+P0;f85r1.7,+P0;f104r.37,+P0;f111r.10,+P0",H|B|2|paragraph_continuation:1/R10;S|B|3|paragraph_continuation:2/R10;T|B|2|paragraph_continuation:1/R10
oram,4,4,R00,1.0,0.0,1.0,1.0,4,0,0,0,G2,0.5,0.946,1.0,4,B,0.25,1.0,2,B,0.75,0.811,2,2,0.75,0.811,2,paragraph_continuation,0.75,0.811,0.75,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f79v.17,+P0;f85r1.8,+P0;f86v3.33,+Pb;f88r.13,@Lf",B|B|2|paragraph_continuation:1/R00;C|B|2|paragraph_continuation:1/R00;P|A|1|label_or_marginal:1/R00;T|B|2|paragraph_continuation:1/R00
otalam,4,4,R00,1.0,0.0,1.0,1.0,4,0,0,0,G3C,0.75,0.811,1.0,4,C,0.25,1.0,3,nan,0.5,0.946,3,4,0.5,0.946,3,&L,0.5,0.946,0.5,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f69r.19,&L0;f70v2.25,&Lz;f76r.42,+P0;f99r.13,@Lf",C||4|&L:1/R00;P|A|1|label_or_marginal:1/R00;T|B|2|paragraph_continuation:1/R00;Z||4|&L:1/R00
otaldy,4,4,R00,1.0,0.0,1.0,1.0,3,1,1,0,G3C,1.0,0.0,1.0,3,P,0.5,0.946,2,nan,0.5,1.0,2,4,0.5,1.0,3,label_or_marginal,0.5,0.946,0.5,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f67r1.8,@Ri;f70v2.17,&Lz;f88r.12,@Lc;f101v.2,@Lf",A||4|radial/ring_text:1/R00;P|A|1|label_or_marginal:2/R00;Z||4|&L:1/R00
otchey,4,4,R00,1.0,0.0,1.0,1.0,3,1,1,0,G3C,0.5,0.946,0.75,3,B,0.5,0.946,2,B,0.75,0.811,2,2,0.75,0.811,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f56r.19,+P0;f78v.29,+P0;f83r.26,+P1;f86v3.27,+Pb",B|B|2|paragraph_continuation:2/R00;C|B|2|paragraph_continuation:1/R00;H|A|1|paragraph_continuation:1/R00
otchol,4,4,R07,1.0,0.0,1.0,1.0,2,1,1,0,G3C,0.5,1.0,0.75,2,H,0.75,0.811,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f1r.8,+P0;f13v.2,+P0;f24v.16,+P0;f42r.9,+P0",H|A|1|paragraph_continuation:3/R07;T|A|1|paragraph_continuation:1/R07
otchy,4,4,R01,1.0,0.0,1.0,1.0,4,0,0,0,G2,0.75,0.811,1.0,4,B,0.25,1.0,1,B,1.0,0.0,2,2,0.5,1.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f84r.18,+P0;f85r1.8,+P0;f94v.6,+P0;f107r.28,+P0",B|B|2|paragraph_continuation:1/R01;H|B|3|paragraph_continuation:1/R01;S|B|3|paragraph_continuation:1/R01;T|B|2|paragraph_continuation:1/R01
oteody,4,4,R01,1.0,0.0,1.0,1.0,3,1,1,0,G2,0.5,1.0,1.0,3,S,0.5,0.946,2,B,0.75,0.811,3,3,0.5,0.946,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f43v.8,+P0;f88v.17,+P0;f104r.37,+P0;f111r.18,+P0",H|B|2|paragraph_continuation:1/R01;P|A|1|paragraph_continuation:1/R01;S|B|3|paragraph_continuation:2/R01
qo,4,4,H07,1.0,0.0,1.0,1.0,2,1,1,0,G2,1.0,0.0,1.0,2,T,0.75,0.811,1,B,1.0,0.0,2,2,0.75,0.811,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f76r.20,+P0;f76r.30,+P0;f76r.45,+P0;f111v.21,+P0",S|B|3|paragraph_continuation:1/H07;T|B|2|paragraph_continuation:3/H07
