token,occurrences_core,distinct_lines,dominant_role,dominant_role_share,role_entropy_norm,stratified_role_purity,stratum_majority_role_agreement,strata_total,strata_with_2plus_occurrences,portable_strata_2plus,conflict_strata_2plus,dominant_module,dominant_module_share,module_entropy_norm,stratified_module_purity,distinct_section_I,dominant_I,dominant_I_share,section_I_entropy_norm,distinct_currier_L,dominant_L,dominant_L_share,currier_L_entropy_norm,distinct_hand_H,dominant_H,dominant_H_share,hand_H_entropy_norm,distinct_marker_family,dominant_marker,dominant_marker_share,marker_entropy_norm,metadata_concentration_risk_max_share,pass26_residual_status,pass21_24_candidate_class,pass21_24_candidate_confidence,sample_loci,sample_strata
pchar,1,1,R06,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f6r.8,+P0",H|A|1|paragraph_continuation:1/R06
pchdlar,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_start,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f107r.1,@P0",S|B|3|paragraph_start:1/R00
pchdoiin,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_start,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f104v.1,@P0",S|B|3|paragraph_start:1/R00
pchdy,1,1,R06,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,B,1.0,0.0,1,B,1.0,0.0,1,2,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f81v.16,+P0",B|B|2|paragraph_continuation:1/R06
pchear,1,1,R06,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f103v.30,+P0",S|B|3|paragraph_continuation:1/R06
pchecfhey,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,T,1.0,0.0,1,B,1.0,0.0,1,2,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f86v6.19,+P0",T|B|2|paragraph_continuation:1/R00
pchedar,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,B,1.0,0.0,1,B,1.0,0.0,1,2,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f75r.17,+P0",B|B|2|paragraph_continuation:1/R00
pchedchdy,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f114v.8,+P0",S|B|3|paragraph_continuation:1/R00
pchedeey,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,C,1.0,0.0,1,B,1.0,0.0,1,2,1.0,0.0,1,paragraph_start,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f85r2.7,@Pb",C|B|2|paragraph_start:1/R00
pcheedy,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f108r.48,+P0",S|B|3|paragraph_continuation:1/R00
pchey,1,1,R06,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,B,1.0,0.0,1,B,1.0,0.0,1,2,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f79v.28,+P0",B|B|2|paragraph_continuation:1/R06
pcheykeeor,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,B,1.0,0.0,1,B,1.0,0.0,1,2,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f75r.6,+P0",B|B|2|paragraph_continuation:1/R00
pchodain,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f112v.27,+P0",S|B|3|paragraph_continuation:1/R00
pchodal,1,1,R09,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f51r.12,+P0",H|A|1|paragraph_continuation:1/R09
pchody,1,1,R06,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f42r.15,+Pr",H|A|1|paragraph_continuation:1/R06
pchoetal,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f116r.15,+P0",S|B|3|paragraph_continuation:1/R00
pchol,1,1,R06,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f103v.30,+P0",S|B|3|paragraph_continuation:1/R06
pcholkeedy,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f112r.27,+P0",S|B|3|paragraph_continuation:1/R00
pcholky,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f107r.42,+P0",S|B|3|paragraph_continuation:1/R00
pcholor,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f104r.39,+P0",S|B|3|paragraph_continuation:1/R00
pchom,1,1,R06,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f45v.8,+P0",H|A|1|paragraph_continuation:1/R06
pchooiin,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_start,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f4v.1,@P0",H|A|1|paragraph_start:1/R00
pchoraiin,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f112v.20,+P0",S|B|3|paragraph_continuation:1/R00
pchsed,1,1,R06,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f105r.28,+P0",S|B|3|paragraph_continuation:1/R06
pchshy,1,1,R06,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,S,1.0,0.0,1,A,1.0,0.0,1,3,1.0,0.0,1,section/paragraph_break_start,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f58v.23,*P0",S|A|3|section/paragraph_break_start:1/R06
pchy,1,1,R06,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f8v.10,+P0",H|A|1|paragraph_continuation:1/R06
